frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
134,6.0,[411.7239690591189 818.3907078856562 812.3798014962665 1079.8582132238282],[547.0513916015625 1024.9278564453125 662.0868530273438 1074.48095703125],0.6573585867881775,GX15OGJ,0.7057304720075483
134,31.0,[1121.6022899446377 825.814320820394 1492.8860084172331 1078.2732147649995],[1255.585205078125 1008.4667358398438 1368.842529296875 1062.462646484375],0.6212719678878784,LN13VCV,0.7097682113135197
135,31.0,[1122.5804886869769 830.2888164723797 1494.8362619909522 1079.993092344336],[1257.64306640625 1016.8335571289062 1372.401123046875 1068.0389404296875],0.6490700244903564,LM13VCV,0.5993730286902287
135,1.0,[1021.7398794697474 607.7056405322004 1303.4546987762992 845.9795014779996],[1130.820556640625 755.2359008789062 1232.581787109375 799.1921997070312],0.4376119375228882,AP05JEO,0.04218442146760364
136,31.0,[1123.4807365200154 834.0530267401848 1495.3024664777317 1081.299202123234],[1254.9814453125 1016.3800048828125 1377.069580078125 1072.4476318359375],0.6851673722267151,LM13VCV,0.4452410233997436
136,6.0,[406.0584858462771 826.4201332681948 808.889070945213 1081.6756079582087],[543.3206787109375 1034.699462890625 659.9520874023438 1079.9945068359375],0.6591206789016724,GX15OGJ,0.4081520654849576
136,8.0,[551.0478048754806 562.1912131846694 805.0308982233007 779.3156240487223],[636.009033203125 685.0285034179688 713.4807739257812 728.9088134765625],0.2768990099430084,XH05ZIK,0.14575615767513236
137,1.0,[1022.5181991964416 611.2619796724382 1307.3783514668364 850.4729226382028],[1125.1964111328125 758.609130859375 1233.6917724609375 807.785400390625],0.6337999105453491,AP05JEO,0.5514487001554247
137,31.0,[1125.4701852105325 837.4025257999111 1497.7487696087853 1080.81417418869],[1260.9298095703125 1026.28076171875 1375.93212890625 1077.62060546875],0.5969314575195312,LR13VCV,0.19257042752915554
137,8.0,[549.8008106140697 562.7276991624501 804.460725921388 780.7401800407888],[626.5135498046875 687.5694580078125 714.9020385742188 730.5234375],0.306552529335022,KH05ZZK,0.1133015786472578
138,31.0,[1125.8135357729254 841.6056778589557 1497.3866949932547 1081.6522604671634],[1261.39892578125 1029.1748046875 1377.0238037109375 1080.0],0.6546571850776672,IN13VCV,0.12515782721675303
138,1.0,[1023.4860710291771 614.1445549418398 1308.753041807999 853.5760951926167],[1118.65185546875 763.9154663085938 1232.1256103515625 803.6145629882812],0.555791974067688,AP05JED,0.7722312906399068
139,31.0,[1126.7464657949486 845.0047728526098 1497.711779155301 1082.153018812635],[1257.068603515625 1032.800537109375 1375.666015625 1080.0],0.5295839905738831,LK13VCV,0.14685438056354194
